Utilisé pour l'entrainement,Titre,Categorie,Créateur,Durée,Nombre de vues,Date de publication
,Je construis un pont en papier... combien de livres va-t-il supporter ?,Sciences et technologie,Science Défi,13:56,687 k vues,Il y a 6 jours
,Le drone le plus facile à programmer que j'aie essayé,Sciences et technologie,TechLab Junior,17:44,438 k vues,Il y a 2 semaines
,Comment Internet traverse-t-il les océans ?,Sciences et technologie,Minute Science,10:33,"1,3 M vues",Il y a 9 jours
,Je teste une expérience scientifique vue sur Internet,Sciences et technologie,Science Défi,14:18,824 k vues,Il y a 4 jours
,Pourquoi les volcans n'entrent-ils pas tous en éruption ?,Sciences et technologie,Explique-moi Ça,11:12,716 k vues,Il y a 3 semaines
,J'ai programmé mon premier jeu vidéo en moins de 30 minutes,Sciences et technologie,Code & Création,19:06,556 k vues,Il y a 12 jours
,Le mystère des trous noirs expliqué avec un simple drap,Sciences et technologie,Minute Science,12:58,"2,1 M vues",Il y a 2 mois
,POV : ton premier robot réussit enfin à avancer tout seul 🎉,Sciences et technologie,TechLab Junior,0:31,"3,9 M vues",Il y a 3 jours
,Je découvre pourquoi Mars est surnommée la planète rouge,Sciences et technologie,Labo Curieux,16:25,482 k vues,Il y a 2 semaines
,Le défi : construire la plus haute tour avec seulement des pailles,Sciences et technologie,Science Défi,15:04,734 k vues,Il y a 7 jours
,Pourquoi les aimants attirent-ils certains métaux mais pas tous ?,Sciences et technologie,Explique-moi Ça,9:52,871 k vues,Il y a 11 jours
,J'observe des cellules végétales au microscope pour la première fois,Sciences et technologie,Labo Curieux,13:48,396 k vues,Il y a 5 semaines
,Je compare un vieux téléphone avec un modèle d'aujourd'hui 📱,Sciences et technologie,TechLab Junior,11:36,"1,1 M vues",Il y a 6 jours
,Comment les satellites savent-ils où ils sont ?,Sciences et technologie,Minute Science,10:44,649 k vues,Il y a 2 semaines
,Je croyais connaître les dinosaures... cette découverte m'a surpris,Sciences et technologie,Explique-moi Ça,14:27,"1,4 M vues",Il y a 1 semaine
,Le plus petit moteur électrique que j'aie fabriqué ⚡,Sciences et technologie,Science Défi,17:18,518 k vues,Il y a 9 jours
,Cette invention vieille de 2 000 ans fonctionne encore aujourd'hui,Sciences et technologie,Labo Curieux,12:39,782 k vues,Il y a 3 semaines
,Je construis une voiture propulsée uniquement par un ballon 🎈,Sciences et technologie,Science Défi,15:23,846 k vues,Il y a 8 jours
,Pourquoi la Lune nous montre-t-elle toujours la même face ?,Sciences et technologie,Minute Science,10:18,"1,6 M vues",Il y a 2 semaines
,J'ai fabriqué une lampe qui fonctionne sans pile... ou presque 💡,Sciences et technologie,Labo Curieux,14:41,637 k vues,Il y a 6 jours
,POV : ton programme fonctionne enfin du premier coup 💻,Sciences et technologie,Code & Création,0:24,"3,8 M vues",Il y a 3 jours
,Je teste si une intelligence artificielle peut résoudre mes devoirs de maths,Sciences et technologie,TechLab Junior,17:36,"1,1 M vues",Il y a 5 jours
,Le plus grand télescope que j'aie eu la chance d'utiliser,Sciences et technologie,Minute Science,18:07,524 k vues,Il y a 3 semaines
,Pourquoi les avions restent-ils dans le ciel ?,Sciences et technologie,Explique-moi Ça,9:44,982 k vues,Il y a 10 jours
,Je programme un mini-feu de circulation avec quelques composants électroniques,Sciences et technologie,Code & Création,16:58,473 k vues,Il y a 2 semaines
,Le défi : construire un pont qui supporte une brique avec seulement du papier,Sciences et technologie,Science Défi,13:29,691 k vues,Il y a 12 jours
,Cette illusion d'optique trompe presque tout le monde 👀,Sciences et technologie,Labo Curieux,8:35,"2,2 M vues",Il y a 1 semaine
,Pourquoi le verre est-il transparent ?,Sciences et technologie,Explique-moi Ça,10:57,714 k vues,Il y a 1 mois
,Je découvre comment les robots voient le monde autour d'eux,Sciences et technologie,TechLab Junior,15:12,589 k vues,Il y a 9 jours
,Les cinq plus grandes erreurs de l'histoire des inventions,Sciences et technologie,Minute Science,12:46,856 k vues,Il y a 2 mois
,J'ai construit une alarme de porte avec un circuit électrique simple,Sciences et technologie,Code & Création,18:19,442 k vues,Il y a 4 jours
,POV : ton volcan entre enfin en éruption 🌋,Sciences et technologie,Science Défi,0:29,"4,6 M vues",Il y a 2 jours
,Pourquoi certains métaux rouillent-ils et d'autres non ?,Sciences et technologie,Explique-moi Ça,11:08,633 k vues,Il y a 2 semaines
,Je pensais que l'espace était silencieux... voici la vraie explication,Sciences et technologie,Minute Science,14:17,"1,3 M vues",Il y a 11 jours
,Je fabrique une grue miniature qui soulève vraiment des objets,Sciences et technologie,Labo Curieux,17:42,396 k vues,Il y a 5 semaines
,Le défi de programmation que je n'arrivais jamais à terminer,Sciences et technologie,Code & Création,13:51,514 k vues,Il y a 7 jours
,Comment les GPS savent-ils exactement où tu te trouves ?,Sciences et technologie,TechLab Junior,10:26,948 k vues,Il y a 3 semaines
,Je découvre pourquoi les bulles sont toujours rondes,Sciences et technologie,Explique-moi Ça,9:11,781 k vues,Il y a 13 jours
,Cette expérience avec de la glace m'a complètement surpris ❄️,Sciences et technologie,Labo Curieux,11:53,"1,5 M vues",Il y a 6 jours
,Peut-on fabriquer de l'électricité avec un citron ?,Sciences et technologie,Science Défi,16:14,724 k vues,Il y a 1 semaine
,Je compare une vieille console de jeux avec un ordinateur moderne,Sciences et technologie,TechLab Junior,14:36,468 k vues,Il y a 4 semaines
,Le satellite qui photographie la Terre tous les jours 🛰️,Sciences et technologie,Minute Science,12:04,612 k vues,Il y a 10 jours
,J'ai fabriqué une éolienne qui produit vraiment de l'électricité 🌬️,Sciences et technologie,Labo Curieux,17:11,598 k vues,Il y a 1 semaine
,Pourquoi les astronautes flottent-ils dans la Station spatiale ?,Sciences et technologie,Minute Science,10:52,"1,9 M vues",Il y a 2 semaines
,Le défi : construire le plus haut gratte-ciel avec des spaghettis,Sciences et technologie,Science Défi,15:37,821 k vues,Il y a 8 jours
,POV : ton robot évite enfin les obstacles tout seul 🤖,Sciences et technologie,TechLab Junior,0:30,"4,1 M vues",Il y a 3 jours
,Je programme un mini-jeu en moins d'une heure,Sciences et technologie,Code & Création,18:06,517 k vues,Il y a 5 jours
,Pourquoi les avions laissent-ils parfois une longue traînée blanche ?,Sciences et technologie,Explique-moi Ça,9:43,"1,2 M vues",Il y a 3 semaines
,Je pensais que les imprimantes 3D imprimaient seulement du plastique...,Sciences et technologie,Labo Curieux,14:56,654 k vues,Il y a 11 jours
,Les cinq découvertes scientifiques faites complètement par hasard,Sciences et technologie,Minute Science,12:48,937 k vues,Il y a 1 mois
,Je construis une catapulte miniature avec des bâtonnets de bois,Sciences et technologie,Science Défi,16:28,583 k vues,Il y a 9 jours
,Cette expérience avec un laser est encore plus impressionnante que prévu ✨,Sciences et technologie,Labo Curieux,11:35,"1,6 M vues",Il y a 4 jours
,Comment un robot reconnaît-il une personne ?,Sciences et technologie,TechLab Junior,13:24,731 k vues,Il y a 2 semaines
,Pourquoi les planètes ne tombent-elles jamais sur le Soleil ?,Sciences et technologie,Explique-moi Ça,10:37,"1,4 M vues",Il y a 12 jours
,Je construis un bras robotisé avec des objets recyclés,Sciences et technologie,TechLab Junior,19:02,429 k vues,Il y a 6 jours
,Le microscope révèle un monde que je n'imaginais pas 🔬,Sciences et technologie,Labo Curieux,15:18,648 k vues,Il y a 3 semaines
,POV : ton expérience fonctionne du premier essai 🎉,Sciences et technologie,Science Défi,0:27,"3,7 M vues",Il y a 2 jours
,Pourquoi les fusées décollent-elles toujours verticalement ?,Sciences et technologie,Minute Science,11:49,812 k vues,Il y a 1 semaine
,J'ai demandé à une IA de dessiner l'invention du futur... puis je l'ai construite,Sciences et technologie,Code & Création,17:44,"1,1 M vues",Il y a 10 jours
,Cette expérience avec des aimants semble impossible... pourtant elle fonctionne,Sciences et technologie,Science Défi,12:58,694 k vues,Il y a 2 semaines
,Comment les panneaux solaires produisent-ils de l'électricité ?,Sciences et technologie,Explique-moi Ça,9:58,884 k vues,Il y a 5 semaines
,Je découvre le plus ancien ordinateur mécanique du monde,Sciences et technologie,Minute Science,13:46,562 k vues,Il y a 13 jours
,Le défi de programmation qui m'a appris à penser autrement,Sciences et technologie,Code & Création,16:53,488 k vues,Il y a 8 jours
,Pourquoi les bulles de savon brillent-elles de toutes les couleurs ?,Sciences et technologie,Explique-moi Ça,8:44,"1,3 M vues",Il y a 2 mois
,J'ai fabriqué une mini-serre entièrement automatique 🌱,Sciences et technologie,Labo Curieux,18:21,406 k vues,Il y a 9 jours
,La découverte scientifique qui a commencé par... une erreur,Sciences et technologie,Minute Science,12:15,978 k vues,Il y a 4 semaines
,Je teste un clavier contrôlé uniquement avec des bananes 🍌,Sciences et technologie,TechLab Junior,14:33,"2,5 M vues",Il y a 5 jours
,Je construis une machine de Rube Goldberg qui fonctionne enfin !,Sciences et technologie,Science Défi,18:12,746 k vues,Il y a 6 jours
,Pourquoi les étoiles scintillent-elles alors que les planètes presque jamais ?,Sciences et technologie,Minute Science,10:41,"1,8 M vues",Il y a 2 semaines
,J'ai fabriqué une horloge alimentée par... une pomme 🍎,Sciences et technologie,Labo Curieux,15:37,618 k vues,Il y a 9 jours
,POV : ton premier programme affiche enfin « Bonjour le monde ! » 💻,Sciences et technologie,Code & Création,0:26,"3,5 M vues",Il y a 3 jours
,Je demande à une IA de résoudre un casse-tête... puis j'essaie de faire mieux,Sciences et technologie,TechLab Junior,16:54,"1,2 M vues",Il y a 5 jours
,Les inventions qui semblaient absurdes... avant de changer le monde,Sciences et technologie,Minute Science,13:18,904 k vues,Il y a 1 mois
,Je teste combien de poids un pont en carton peut réellement supporter,Sciences et technologie,Science Défi,14:45,677 k vues,Il y a 12 jours
,Pourquoi les arcs-en-ciel ont-ils toujours la même forme ?,Sciences et technologie,Explique-moi Ça,9:57,"1,1 M vues",Il y a 3 semaines
,J'ai transformé une vieille boîte en coffre-fort électronique,Sciences et technologie,Code & Création,17:09,493 k vues,Il y a 1 semaine
,Cette expérience avec l'air comprimé m'a complètement surpris 💨,Sciences et technologie,Labo Curieux,11:26,"1,4 M vues",Il y a 8 jours
,Comment un code QR peut-il contenir autant d'informations ?,Sciences et technologie,Explique-moi Ça,10:14,712 k vues,Il y a 2 semaines
,Je découvre comment les robots apprennent à éviter les obstacles,Sciences et technologie,TechLab Junior,15:58,582 k vues,Il y a 11 jours
,Le défi : construire un véhicule qui avance sans moteur,Sciences et technologie,Science Défi,16:43,835 k vues,Il y a 4 jours
,Pourquoi les aurores boréales illuminent-elles le ciel ?,Sciences et technologie,Minute Science,12:37,"2,3 M vues",Il y a 2 mois
,POV : ta fusée en papier vole enfin jusqu'au fond du gymnase 🚀,Sciences et technologie,Science Défi,0:29,"4,0 M vues",Il y a 2 jours
,J'ai créé un détecteur de lumière avec quelques composants électroniques,Sciences et technologie,Code & Création,18:24,431 k vues,Il y a 10 jours
,Le plus petit ordinateur que j'aie jamais utilisé,Sciences et technologie,TechLab Junior,13:46,654 k vues,Il y a 3 semaines
,Pourquoi les glaçons flottent-ils au lieu de couler ?,Sciences et technologie,Explique-moi Ça,8:49,987 k vues,Il y a 6 jours
,Je construis une griffe mécanique pour ramasser des objets,Sciences et technologie,Labo Curieux,17:33,517 k vues,Il y a 13 jours
,Comment les voitures électriques récupèrent-elles de l'énergie en freinant ?,Sciences et technologie,Minute Science,11:53,743 k vues,Il y a 1 semaine
,J'ai fabriqué un mini phare qui s'allume automatiquement la nuit,Sciences et technologie,Code & Création,15:21,469 k vues,Il y a 5 semaines
,Cette réaction chimique change de couleur sous mes yeux 🧪,Sciences et technologie,Labo Curieux,10:32,"1,7 M vues",Il y a 9 jours
,Pourquoi les satellites ne tombent-ils jamais sur la Terre ?,Sciences et technologie,Explique-moi Ça,9:38,"1,2 M vues",Il y a 2 semaines
,Je compare les premiers robots industriels avec ceux d'aujourd'hui,Sciences et technologie,TechLab Junior,14:57,538 k vues,Il y a 4 semaines
,Le projet scientifique qui a impressionné toute ma classe,Sciences et technologie,Science Défi,16:08,689 k vues,Il y a 1 semaine
,Je joue à Pokémon avec une équipe choisie complètement au hasard,Jeux vidéo,GameZone Québec,19:35,438 k vues,Il y a 2 semaines
,Pourquoi tout le monde parle encore de ce vieux niveau de Geometry Dash ?,Jeux vidéo,NovaPlay,8:57,286 k vues,Il y a 8 jours
,Je transforme mon île Animal Crossing avant la rentrée scolaire,Jeux vidéo,PixelMax,17:23,194 k vues,Il y a 10 jours
,Rocket League : le but le plus chanceux de toute ma vie,Jeux vidéo,Sam Gaming,7:36,"1,1 M vues",Il y a 1 mois
,Je découvre enfin ce qu'il y avait au fond de l'océan dans Subnautica,Jeux vidéo,PlayLab,21:47,678 k vues,Il y a 3 semaines
,J'ai retrouvé ma première sauvegarde Minecraft de 2018,Jeux vidéo,NovaPlay,14:19,905 k vues,Il y a 2 jours
,Le défi LEGO Fortnite qui semblait impossible... jusqu'à aujourd'hui,Jeux vidéo,Les Défis de Léo,15:54,357 k vues,Il y a 12 jours
,Mon chat regarde Brawl Stars avec moi... sa réaction est parfaite 🐱,Jeux vidéo,PixelMax,6:44,742 k vues,Il y a 5 mois
,Je tente de battre mon père à FIFA pour la première fois,Jeux vidéo,Sam Gaming,12:31,609 k vues,Il y a 4 jours
,Pourquoi ce monde Minecraft est devenu célèbre sans que personne ne joue dessus ?,Jeux vidéo,GameZone Québec,10:15,483 k vues,Il y a 3 mois
,Je reconstruis le château de Zelda avec des blocs LEGO,Jeux vidéo,PlayLab,23:18,156 k vues,Il y a 1 semaine
,Ce personnage oublié de Super Smash Bros mérite une deuxième chance,Jeux vidéo,NovaPlay,9:52,271 k vues,Il y a 9 jours
,Une journée complète à jouer seulement avec des objets trouvés au hasard,Jeux vidéo,Turbo Gaming,18:06,512 k vues,Il y a 2 semaines
,Je pensais connaître Terraria... jusqu'à ce que je découvre cette grotte,Jeux vidéo,PixelMax,16:42,391 k vues,Il y a 11 jours
,Le tournoi de Mario Kart de notre classe a eu une fin inattendue,Jeux vidéo,Les Défis de Léo,13:09,829 k vues,Il y a 6 jours
,J'ai demandé à ma grand-mère de créer mon personnage Roblox,Jeux vidéo,GameZone Québec,8:39,"1,3 M vues",Il y a 1 mois
,Parmi Us : la stratégie la plus drôle que personne n'avait essayée,Jeux vidéo,PlayLab,11:58,447 k vues,Il y a 2 mois
,Le niveau secret que presque tous les joueurs ratent dans Trackmania,Jeux vidéo,Turbo Gaming,15:27,233 k vues,Il y a 2 semaines
,Je n'avais jamais vu une victoire comme celle-ci dans Fall Guys,Jeux vidéo,Sam Gaming,7:58,690 k vues,Il y a 1 semaine
,J'ai tenté de survivre une journée entière sans quitter mon premier biome dans Minecraft,Jeux vidéo,Cube Aventure,17:51,584 k vues,Il y a 9 jours
,Pourquoi tout le monde rate ce mini-jeu dans Roblox ?,Jeux vidéo,GameZone Québec,9:34,411 k vues,Il y a 3 semaines
,Ma petite sœur a décoré ma base Minecraft... et j'ai tout gardé !,Jeux vidéo,PixelMax,12:18,768 k vues,Il y a 5 jours
,Je joue à Mario Kart avec un volant en carton fabriqué à la maison,Jeux vidéo,Les Défis de Léo,14:07,925 k vues,Il y a 2 semaines
,Le coffre le plus inutile... qui contenait finalement un trésor,Jeux vidéo,NovaPlay,10:49,352 k vues,Il y a 1 mois
,Je crée un zoo géant dans Planet Zoo sans dépasser mon budget,Jeux vidéo,Cube Aventure,21:36,241 k vues,Il y a 8 jours
,Le skin que tout le monde voulait dans Fortnite... est-il vraiment si spécial ?,Jeux vidéo,Turbo Gaming,11:53,"1,6 M vues",Il y a 4 semaines
,J'ai demandé à mes abonnés de choisir ma prochaine mission Pokémon,Jeux vidéo,PlayLab,15:24,507 k vues,Il y a 12 jours
,Cette course Trackmania semblait impossible jusqu'à ce que je voie cette ligne parfaite,Jeux vidéo,Turbo Gaming,8:42,398 k vues,Il y a 6 jours
,Peut-on construire une ville entière avec seulement du bois dans Minecraft ?,Jeux vidéo,PixelMax,19:55,"1,2 M vues",Il y a 2 mois
,Le jour où tout notre serveur Roblox est devenu complètement silencieux,Jeux vidéo,GameZone Québec,13:46,284 k vues,Il y a 1 semaine
,Je découvre enfin pourquoi tout le monde adore Stardew Valley,Jeux vidéo,NovaPlay,16:09,462 k vues,Il y a 2 semaines
,J'ai transformé le pire personnage en véritable héros dans Brawl Stars,Jeux vidéo,Sam Gaming,10:57,643 k vues,Il y a 4 jours
,Mon défi : terminer Fall Guys sans tomber une seule fois,Jeux vidéo,Les Défis de Léo,9:58,734 k vues,Il y a 11 jours
,Les plus beaux paysages que j'ai trouvés en explorant Zelda,Jeux vidéo,Cube Aventure,18:31,557 k vues,Il y a 3 semaines
,Je n'avais jamais remarqué ce bruit caché dans Among Us,Jeux vidéo,PlayLab,7:45,389 k vues,Il y a 1 mois
,Comment un simple changement de stratégie m'a fait gagner à Clash Royale,Jeux vidéo,Sam Gaming,12:27,826 k vues,Il y a 10 jours
,J'ai organisé une chasse au trésor géante dans Animal Crossing,Jeux vidéo,PixelMax,20:14,317 k vues,Il y a 5 semaines
,Le circuit le plus drôle jamais créé dans Mario Maker,Jeux vidéo,NovaPlay,11:36,278 k vues,Il y a 2 jours
,Mon premier speedrun... et je ne m'attendais vraiment pas à ce résultat,Jeux vidéo,PlayLab,13:58,489 k vues,Il y a 9 jours
,Je laisse la roue du hasard choisir mon équipement dans Fortnite,Jeux vidéo,Turbo Gaming,14:41,"1,1 M vues",Il y a 1 semaine
,Pourquoi les nouveaux joueurs font presque tous cette erreur dans Terraria,Jeux vidéo,Cube Aventure,15:32,364 k vues,Il y a 3 jours
,Le plus beau coucher de soleil que j'ai vu dans un jeu vidéo,Jeux vidéo,PixelMax,6:51,214 k vues,Il y a 2 semaines
,Je défie mon grand-père dans Wii Sports... et il me surprend complètement,Jeux vidéo,Les Défis de Léo,9:16,958 k vues,Il y a 6 mois
,Cette mission secondaire valait largement le détour,Jeux vidéo,NovaPlay,17:12,405 k vues,Il y a 13 jours
,J'ai confié toute ma partie Minecraft à mon petit cousin pendant 30 minutes,Jeux vidéo,PixelMax,15:48,684 k vues,Il y a 1 semaine
,Cette quête secondaire était cachée depuis le début... et je suis passé à côté pendant des années,Jeux vidéo,Cube Aventure,18:36,431 k vues,Il y a 3 semaines
,Je construis une maison ronde dans Minecraft... c'était beaucoup plus difficile que prévu,Jeux vidéo,PixelMax,20:17,918 k vues,Il y a 9 jours
,On échange nos objectifs dans Fortnite sans les connaître d'avance,Jeux vidéo,Les Défis de Léo,13:02,562 k vues,Il y a 2 semaines
,J'ai trouvé le coin le plus paisible de tout Animal Crossing,Jeux vidéo,NovaPlay,11:44,249 k vues,Il y a 6 jours
,Le raccourci que j'utilisais depuis toujours était finalement le plus lent,Jeux vidéo,Turbo Gaming,9:31,796 k vues,Il y a 5 jours
,Je laisse ChatGPT me proposer un défi Minecraft complètement inédit,Jeux vidéo,PlayLab,16:58,"1,7 M vues",Il y a 2 mois
,POV : tu réussis enfin le saut que tu rates depuis une heure 🎮,Jeux vidéo,Turbo Gaming,0:24,"4,1 M vues",Il y a 4 jours
,Ce coffre semblait vide... jusqu'à ce que je regarde une deuxième fois,Jeux vidéo,Cube Aventure,10:53,318 k vues,Il y a 12 jours
,Mon chien choisit le prochain jeu auquel je dois jouer 🐶,Jeux vidéo,Sam Gaming,8:46,"1,2 M vues",Il y a 1 semaine
,Je joue à Roblox avec les paramètres graphiques au maximum,Jeux vidéo,GameZone Québec,14:39,525 k vues,Il y a 10 jours
,Pourquoi cette vieille carte Fortnite est encore la préférée des joueurs ?,Jeux vidéo,NovaPlay,12:55,973 k vues,Il y a 1 mois
,Je termine un donjon sans utiliser la moindre potion,Jeux vidéo,Cube Aventure,17:11,402 k vues,Il y a 2 semaines
,Ce mini-jeu caché est presque impossible à trouver,Jeux vidéo,PlayLab,7:52,364 k vues,Il y a 3 jours
,Le plus beau ralenti que j'ai réussi dans Rocket League,Jeux vidéo,Turbo Gaming,0:37,"2,9 M vues",Il y a 5 jours
,J'ai demandé à une roue de choisir tous mes équipements,Jeux vidéo,Les Défis de Léo,13:27,609 k vues,Il y a 8 jours
,Je croyais avoir tout vu... puis ce joueur est arrivé,Jeux vidéo,Sam Gaming,9:58,441 k vues,Il y a 13 jours
,Les cinq astuces que j'aurais aimé connaître quand j'ai commencé Minecraft,Jeux vidéo,PixelMax,19:24,"1,3 M vues",Il y a 3 mois
,Pourquoi cette musique de jeu donne autant de nostalgie ?,Jeux vidéo,Retro Fun,10:18,517 k vues,Il y a 2 semaines
,Le défi le plus drôle qu'un abonné m'ait proposé,Jeux vidéo,GameZone Québec,11:36,688 k vues,Il y a 6 jours
,Je visite une map construite entièrement par des élèves,Jeux vidéo,PlayLab,15:21,295 k vues,Il y a 1 semaine
,Cette partie semblait perdue... jusqu'à la dernière seconde,Jeux vidéo,Turbo Gaming,8:57,854 k vues,Il y a 11 jours
,Je découvre un jeu dont personne ne parle... et il mérite vraiment d'être connu,Jeux vidéo,Retro Fun,16:42,208 k vues,Il y a 4 semaines
,Le bug le plus amusant que j'aie rencontré cette année 😂,Jeux vidéo,Sam Gaming,6:51,"1,5 M vues",Il y a 9 jours
,Je laisse le hasard choisir mon prochain jeu pendant tout un week-end,Jeux vidéo,Les Défis de Léo,18:08,573 k vues,Il y a 2 semaines
,POV : tu trouves enfin des diamants... puis un Creeper apparaît 💥,Jeux vidéo,PixelMax,0:34,"3,2 M vues",Il y a 4 jours
,Je n'avais jamais osé ouvrir cette porte dans Minecraft,Jeux vidéo,Cube Aventure,16:27,687 k vues,Il y a 2 semaines
,On échange nos manettes en pleine partie... mauvaise idée !,Jeux vidéo,Les Défis de Léo,12:03,918 k vues,Il y a 5 jours
,Le mystère de cette maison abandonnée dans Roblox enfin résolu,Jeux vidéo,NovaPlay,14:51,496 k vues,Il y a 1 semaine
,J'essaie le combo préféré des champions sur Rocket League,Jeux vidéo,Turbo Gaming,10:22,732 k vues,Il y a 11 jours
,Cette île Minecraft cache un détail que presque personne ne remarque,Jeux vidéo,PixelMax,8:45,"1,8 M vues",Il y a 3 semaines
,Peut-on terminer un circuit de Mario Kart... en roulant à reculons ?,Jeux vidéo,GameZone Québec,9:54,"1,1 M vues",Il y a 8 jours
,Mon défi Pokémon : utiliser seulement le premier compagnon rencontré,Jeux vidéo,PlayLab,18:17,364 k vues,Il y a 12 jours
,Le secret le mieux gardé de Zelda n'était pas celui que je croyais,Jeux vidéo,Cube Aventure,15:48,548 k vues,Il y a 1 mois
,J'ai demandé à mes parents de choisir mon personnage dans Brawl Stars,Jeux vidéo,Sam Gaming,11:11,624 k vues,Il y a 6 jours
,Cette cachette Fortnite fonctionne encore... mais plus pour longtemps,Jeux vidéo,Turbo Gaming,7:43,"2,3 M vues",Il y a 2 jours
,Pourquoi tout le monde construit cette ferme dans Minecraft ?,Jeux vidéo,PixelMax,13:29,905 k vues,Il y a 9 jours
,Je visite la carte la plus étrange jamais créée sur Roblox,Jeux vidéo,GameZone Québec,17:06,452 k vues,Il y a 2 semaines
,Le saut le plus satisfaisant de Geometry Dash 🎮,Jeux vidéo,NovaPlay,0:28,"2,7 M vues",Il y a 3 jours
,Je croyais connaître Terraria... jusqu'à cette découverte,Jeux vidéo,Cube Aventure,16:54,287 k vues,Il y a 1 semaine
,On organise un cache-cache géant dans Among Us,Jeux vidéo,Les Défis de Léo,13:41,811 k vues,Il y a 2 semaines
,Ce joueur inconnu m'a appris une technique que je n'oublierai jamais dans Mario Kart World,Jeux vidéo,PlayLab,9:37,339 k vues,Il y a 5 semaines
,"Dans Roblox, mon inventaire est rempli d'objets inutiles... Enfin  c'est ce que je pensais",Jeux vidéo,PixelMax,15:16,719 k vues,Il y a 4 jours
,J'ai recréé mon salon dans Animal Crossing avec seulement ce que j'avais déjà,Jeux vidéo,NovaPlay,18:02,231 k vues,Il y a 10 jours
,Pourquoi cette vieille console fait encore autant parler d'elle ?,Jeux vidéo,Retro Fun,12:48,503 k vues,Il y a 3 semaines
,Comment battre tout le monde facilement a FIFA,Jeux vidéo,Sam Gaming,14:58,468 k vues,Il y a 13 jours
,Je joue avec les réglages les plus étranges trouvés sur Internet,Jeux vidéo,PlayLab,10:43,397 k vues,Il y a 1 semaine
,Les développeurs de Fortnite avaient caché ce clin d'œil depuis des années,Jeux vidéo,NovaPlay,8:21,"1,5 M vues",Il y a 2 mois
,Mon plus beau sauvetage dans Rocket League 🚗⚽,Jeux vidéo,Turbo Gaming,0:41,"3,9 M vues",Il y a 6 jours
,J'ai enfin compris pourquoi tout le monde adore ce nouveau jeu vidéo,Jeux vidéo,Cube Aventure,19:12,276 k vues,Il y a 4 semaines
,Ton équipe marque à la dernière seconde à la FIFA ⏱️,Sport,Zone Sport,0:07,"4,2 M vues",Il y a 2 jours
,Mon premier match de soccer sous la pluie... et je veux recommencer,Sport,Objectif Sport,3:01,526 k vues,Il y a 12 jours
,Le défi du parcours d'obstacles... personne n'a terminé du premier coup,Sport,Défi Max,2:51,874 k vues,Il y a 8 jours
,J'ai demandé à mon entraîneur de tennis son meilleur conseil... sa réponse m'a surpris,Sport,Coach Alex,1:49,"1,3 M vues",Il y a 3 semaines
,Le vélo électrique est-il vraiment plus amusant qu'un vélo classique ?,Sport,Altitude+,3:31,452 k vues,Il y a 4 semaines
,Je compare les échauffements de trois sports complètement différents,Sport,SportLab,2:40,566 k vues,Il y a 11 jours
,Pourquoi certains joueurs restent-ils toujours aussi calmes sous pression ?,Sport,Coach Alex,2:10,813 k vues,Il y a 2 mois
,Une journée à découvrir le baseball avec une vraie équipe,Sport,Objectif Sport,3:40,389 k vues,Il y a 10 jours
,Le défi des tirs de soccer les plus improbables... combien entreront ?,Sport,Défi Max,2:29,947 k vues,Il y a 1 semaine
,J'ai essayé un entraînement inspiré des astronautes,Sport,SportLab,3:09,691 k vues,Il y a 9 jours
,Le plus beau sentier de course que j'ai exploré cette année,Sport,Altitude+,4:00,274 k vues,Il y a 2 semaines
,Pourquoi les sportifs ferment-ils parfois les yeux avant de commencer ?,Sport,Zone Sport,1:40,485 k vues,Il y a 3 semaines
,J'organise un mini tournoi de ping pong dans mon quartier,Sport,Objectif Sport,2:47,604 k vues,Il y a 6 jours
,Le jour où j'ai enfin réussi mon premier salto arrière,Sport,Altitude+,3:46,738 k vues,Il y a 13 jours
,Je teste si les gadgets d'entraînement les plus populaires valent vraiment le coup,Sport,SportLab,3:01,824 k vues,Il y a 5 semaines
,Course à vélo - tu bats enfin ton record personnel 🏅,Sport,Coach Alex,0:06,"3,6 M vues",Il y a 4 jours
,Cette stratégie au hockey nous a permis de renverser le match,Sport,Zone Sport,2:34,659 k vues,Il y a 1 semaine
,Mon plus gros fou rire pendant un entraînement 😂,Sport,Défi Max,1:54,"1,7 M vues",Il y a 2 semaines
,Je découvre pourquoi autant de gens deviennent accros à l'escalade,Sport,Altitude+,3:30,318 k vues,Il y a 8 jours
,Je n'avais jamais joué au pickleball... maintenant je comprends pourquoi tout le monde en parle,Sport,Objectif Sport,3:16,512 k vues,Il y a 1 semaine
,Le défi des 50 tirs : combien finiront vraiment dans le filet ?,Sport,Défi Max,2:21,846 k vues,Il y a 8 jours
,Pourquoi les arbitres utilisent-ils vraiment le carton jaune ?,Sport,Zone Sport,2:02,391 k vues,Il y a 2 semaines
,J'apprends à jongler avec un ballon en suivant seulement Internet,Sport,Coach Alex,2:35,624 k vues,Il y a 5 jours
,Le plus beau parcours de vélo que j'ai découvert cet été,Sport,Altitude+,3:44,283 k vues,Il y a 3 semaines
,Je teste les exercices de réchauffement d'une équipe professionnelle,Sport,SportLab,3:02,717 k vues,Il y a 2 mois
,Cette séance d'entraînement ne dure que 10 minutes... mais elle est redoutable,Sport,Coach Alex,2:06,"1,2 M vues",Il y a 6 jours
,Hockey - Tu arrêtes enfin un tir impossible 🥅,Sport,Zone Sport,0:05,"3,4 M vues",Il y a 3 jours
